Keyword,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub. Year,Author,Title
ds9.si.edu,SAOImage DS9,0,"<em>(http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html),</em> which is also packaged with CIAO. To highlight some of the features, we applied different",TRUE,2018ApJ...865...83F,2018arXiv180806985F,Chandra|CfA,The Astrophysical Journal,2018arXiv180806985F|2018ApJ...865...83F|10.3847/1538-4357/aadc5d|10.3847/1538-4357/aadc5d|2018arXiv180806985F|arXiv:1808.06985,10.3847/1538-4357/aadc5d,2018,"Fabbiano, G.",Deep Chandra Observations of ESO 428-G01. III. High-resolution Spectral Imaging of the Ionization Cone and Radio Jet Region
ds9.si.edu,SAOImage DS9,0,http:&#x2F;&#x2F;<em>ds9.si.edu</em>&#x2F;site&#x2F;Home.html 7 http:&#x2F;&#x2F;star-www.dur.ac.uk&#x2F; pdraper&#x2F;gaia&#x2F;gaia.html 5 –5– PAUS,FALSE,2018JCAP...11..035T,2018arXiv180505340T,,Journal of Cosmology and Astro-Particle Physics,2018arXiv180505340T|2018JCAP...11..035T|10.1088/1475-7516/2018/11/035|2018arXiv180505340T|10.1088/1475-7516/2018/11/035|arXiv:1805.05340,10.1088/1475-7516/2018/11/035,2018,"Tortorelli, Luca",The PAU Survey: a forward modeling approach for narrow-band imaging
ds9.si.edu,SAOImage DS9,0,"which can be obtained from: http:&#x2F;&#x2F;<em>ds9.si.edu</em> MNRAS 000, 1–21 (2018) On the nature and filtering of diffuse emission 7 Table",TRUE,2018arXiv181011405H,,,arXiv e-prints,2018arXiv181011405H|arXiv:1810.11405,,2018,"Hygate, Alexander P. S.",An uncertainty principle for star formation - IV. On the nature and filtering of diffuse emission
ds9.si.edu,SAOImage DS9,0,"format1414http:&#x2F;&#x2F;fits.gsfc.nasa.gov&#x2F;fits_viewer.html. (e.g.fv,1515http:&#x2F;&#x2F;heasarc.gsfc.nasa.gov&#x2F;ftools&#x2F;fv&#x2F;. <em>DS9,1616http:&#x2F;&#x2F;ds9.si.edu.</em>",TRUE,2016CoPhC.200..336B,2015arXiv150607628B,,Computer Physics Communications,2015arXiv150607628B|2016CoPhC.200..336B|10.1016/j.cpc.2015.11.012|10.1016/j.cpc.2015.11.012|2015arXiv150607628B|arXiv:1506.07628,10.1016/j.cpc.2015.11.012,2016,"Bonnivard, Vincent","CLUMPY: Jeans analysis, ?-ray and ? fluxes from dark matter (sub-)structures"
ds9.si.edu,SAOImage DS9,0,"algorithms. We used CIAO 4.8 tools and the display application DS9 <em>(http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html),</em>",TRUE,2018ApJ...855..131F,2018arXiv180207818F,Chandra|CfA,The Astrophysical Journal,2018arXiv180207818F|2018ApJ...855..131F|10.3847/1538-4357/aab1f4|arXiv:1802.07818|2018arXiv180207818F|10.3847/1538-4357/aab1f4,10.3847/1538-4357/aab1f4,2018,"Fabbiano, G.",Deep Chandra Observations of ESO 428-G014. II. Spectral Properties and Morphology of the Large-scale Extended X-Ray Emission
ds9.si.edu,SAOImage DS9,0,of the 1.5 arcmin resolution maps into the SAOImage ds9 software37 37 http:&#x2F;&#x2F;<em>ds9.si.edu</em> and applying,FALSE,2016ApJS..227...23C,2016arXiv160500966C,Herschel|CfA,The Astrophysical Journal Supplement Series,2016arXiv160500966C|2016ApJS..227...23C|10.3847/1538-4365/227/2/23|arXiv:1605.00966|2016arXiv160500966C|10.3847/1538-4365/227/2/23,10.3847/1538-4365/227/2/23,2016,"Crawford, T. M.",Maps of the Magellanic Clouds from Combined South Pole Telescope and PLANCK Data
ds9.si.edu,SAOImage DS9,0,"images(Abolfathi et al., 2017) with DS9,1919http:&#x2F;&#x2F;<em>ds9.si.edu</em>&#x2F;site&#x2F;Home.html.and align them with IRAF",TRUE,2018A&C....23..124M,2018arXiv180402486M,,Astronomy and Computing,2018arXiv180402486M|2018A&C....23..124M|10.1016/j.ascom.2018.04.002|2018arXiv180402486M|arXiv:1804.02486|10.1016/j.ascom.2018.04.002,10.1016/j.ascom.2018.04.002,2018,"Meade, B. F.",Evaluating virtual hosted desktops for graphics-intensive astronomy
ds9.si.edu,SAOImage DS9,0,Astrophysical Observatory <em>(http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html).</em> This research has made use of NASA’s Astrophysics Data System Bibliographic Services,TRUE,2015AN....336..515A,2015arXiv150500970A,ESO/Telescopes,Astronomische Nachrichten,2015arXiv150500970A|2015AN....336..515A|10.1002/asna.201512176|arXiv:1505.00970|10.1002/asna.201512176|2015arXiv150500970A,10.1002/asna.201512176,2015,"Altavilla, G.",The Gaia spectrophotometric standard stars survey: II. Instrumental effects of six ground-based observing campaigns
ds9.si.edu,SAOImage DS9,0,.0 coordinates to pixel coordinates on each of the relevant infrared-band FITS images using the ds95 5 http:&#x2F;&#x2F;<em>ds9.si.edu</em>,FALSE,2017AJ....154..201K,2017arXiv171007892K,Herschel|Spitzer,The Astronomical Journal,2017arXiv171007892K|2017AJ....154..201K|10.3847/1538-3881/aa90ba|2017arXiv171007892K|arXiv:1710.07892|10.3847/1538-3881/aa90ba,10.3847/1538-3881/aa90ba,2017,"Kobulnicky, Henry A.",Infrared Photometric Properties of 709 Candidate Stellar Bowshock Nebulae
ds9.si.edu,SAOImage DS9,0,A page with the features of v7 can be found at <em>http:&#x2F;&#x2F;ds9.si.edu&#x2F;doc&#x2F;new.html.</em> reports the total,FALSE,2018ApJ...856...66M,2018arXiv180204714M,Chandra|HST|CfA,The Astrophysical Journal,2018arXiv180204714M|2018ApJ...856...66M|10.3847/1538-4357/aaaf66|10.3847/1538-4357/aaaf66|arXiv:1802.04714|2018arXiv180204714M,10.3847/1538-4357/aaaf66,2018,"Marshall, H. L.",An X-Ray Imaging Survey of Quasar Jets: The Complete Survey
