,Software_Package,Alias,Identifier,File_Name,count
228,AstroPy,astropy.org,0,apj_783_2_93.xml,1
229,AstroPy,astropy.org,0,apj_788_2_187.xml,1
230,AstroPy,astropy.org,0,apj_789_2_119.xml,1
231,AstroPy,astropy.org,0,apj_790_1_43.xml,1
232,AstroPy,astropy.org,0,apj_795_2_105.xml,1
233,AstroPy,astropy.org,0,apj_798_1_24.xml,1
234,AstroPy,astropy.org,0,apj_803_1_29.xml,1
235,AstroPy,astropy.org,0,apj_804_2_118.xml,1
236,AstroPy,astropy.org,0,apj_806_1_52.xml,1
237,AstroPy,astropy.org,0,apj_807_1_67.xml,1
238,AstroPy,astropy.org,0,apj_808_2_161.xml,1
239,AstroPy,astropy.org,0,apj_812_1_12.xml,1
240,AstroPy,astropy.org,0,apj_812_2_149.xml,1
241,AstroPy,astropy.org,0,apj_813_2_102.xml,1
242,AstroPy,astropy.org,0,apj_817_2_169.xml,1
243,AstroPy,astropy.org,0,apj_818_1_73.xml,1
244,AstroPy,astropy.org,0,apj_821_1_6.xml,1
245,AstroPy,astropy.org,0,apj_822_1_42.xml,1
246,AstroPy,astropy.org,0,apj_822_2_97.xml,1
247,AstroPy,astropy.org,0,apj_826_2_109.xml,1
248,AstroPy,astropy.org,0,apj_827_1_12.xml,1
249,AstroPy,astropy.org,0,apj_827_2_149.xml,1
250,AstroPy,astropy.org,0,apj_831_1_32.xml,1
251,AstroPy,astropy.org,0,apj_832_1_8.xml,1
252,AstroPy,astropy.org,0,apj_832_2_110.xml,1
253,AstroPy,astropy.org,0,apj_833_1_20.xml,1
254,AstroPy,astropy.org,0,apj_833_2_183.xml,1
255,AstroPy,astropy.org,0,apj_835_2_213.xml,1
256,AstroPy,astropy.org,0,apj_835_2_222.xml,1
257,AstroPy,astropy.org,0,apj_837_1_96.xml,2
258,AstroPy,astropy.org,0,apj_838_1_46.xml,1
259,AstroPy,astropy.org,0,apj_838_2_108.xml,1
260,AstroPy,astropy.org,0,apj_839_2_89.xml,1
261,AstroPy,astropy.org,0,apj_840_1_1.xml,1
262,AstroPy,astropy.org,0,apj_840_1_43.xml,1
263,AstroPy,astropy.org,0,apj_840_1_57.xml,1
264,AstroPy,astropy.org,0,apj_842_2_73.xml,1
265,AstroPy,astropy.org,0,apj_849_2_91.xml,1
266,AstroPy,astropy.org,0,apj_850_1_3.xml,1
267,AstroPy,astropy.org,0,apj_851_1_13.xml,1
268,AstroPy,astropy.org,0,apj_852_1_18.xml,1
269,AstroPy,astropy.org,0,apj_852_2_128.xml,1
270,AstroPy,astropy.org,0,apj_852_2_68.xml,1
271,AstroPy,astropy.org,0,apj_855_2_142.xml,1
272,AstroPy,astropy.org,0,apj_857_1_49.xml,1
273,AstroPy,astropy.org,0,apjl_776_2_34.xml,1
274,AstroPy,astropy.org,0,apjl_783_1_23.xml,1
275,AstroPy,astropy.org,0,apjl_834_2_L7.xml,1
276,AstroPy,astropy.org,0,apjl_840_2_L17.xml,1
277,AstroPy,astropy.org,0,apjs_219_1_14.xml,1
278,AstroPy,astropy.org,0,apjs_224_1_10.xml,1
279,AstroPy,astropy.org,0,apjs_225_1_1.xml,1
280,AstroPy,astropy.org,0,apjs_226_2_19.xml,1
281,AstroPy,astropy.org,0,apjs_227_1_11.xml,1
282,AstroPy,astropy.org,0,apjs_230_2_20.xml,1
283,AstroPy,astropy.org,0,apjs_232_1_6.xml,1
284,AstroPy,doi.org/10.1051/0004-6361/201322068,1,aj_155_4_148.xml,1
285,AstroPy,doi.org/10.1051/0004-6361/201322068,1,apj_843_2_126.xml,1
286,AstroPy,github.com/astropy,0,aj_154_5_190.xml,3
287,AstroPy,github.com/astropy,0,aj_155_3_128.xml,1
288,AstroPy,github.com/astropy,0,apj_822_1_47.xml,1
289,AstroPy,github.com/astropy,0,apj_848_1_9.xml,1
290,AstroPy,github.com/astropy,0,apjs_235_1_10.xml,1
291,RADMC-3D,10.1051/0004-6361:20031768,1,apj_693_2_1290.xml,1
292,RADMC-3D,10.1051/0004-6361:20031768,1,apj_707_1_705.xml,1
293,RADMC-3D,10.1051/0004-6361:20031768,1,apj_721_2_995.xml,1
294,RADMC-3D,10.1051/0004-6361:20031768,1,apj_737_2_57.xml,1
295,RADMC-3D,10.1051/0004-6361:20031768,1,apj_740_2_118.xml,1
296,RADMC-3D,10.1051/0004-6361:20031768,1,apj_747_1_52.xml,1
