Alias,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate_Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub_Year,Pub_Date,Author,Title
DS9,SAOImage DS9,0,"package, while the images in this section were generated using the Karma (Gooch 1996) and <em>DS9</em> (Joye Mandel",TRUE,2014A&A...571A..96M,2014A&A...571A..96A|2014arXiv1401.7154M,Spitzer,Astronomy and Astrophysics,2014A&A...571A..96A|2014arXiv1401.7154M|2014A&A...571A..96M|10.1051/0004-6361/201423517|2014A&A...571A..96A|arXiv:1401.7154|2014arXiv1401.7154M|10.1051/0004-6361/201423517,10.1051/0004-6361/201423517,2014,2014-11-00,MAGIC Collaboration,MAGIC reveals a complex morphology within the unidentified gamma-ray source HESS J1857+026
DS9,SAOImage DS9,0,The resulting catalog was processed into an SAOimage <em>DS9</em> region file (converting stars to circles and galaxies,TRUE,2012ApJ...744L..11E,2011arXiv1111.5027E,,The Astrophysical Journal,2011arXiv1111.5027E|2012ApJ...744L..11E|10.1088/2041-8205/744/1/L11|10.1088/2041-8205/744/1/L11|2011arXiv1111.5027E|arXiv:1111.5027,10.1088/2041-8205/744/1/L11,2012,2012-01-00,"Erwin, Peter",A Strong Dichotomy in S0 Disk Profiles between the Virgo Cluster and the Field
DS9,SAOImage DS9,0,TOPCAT9 (Taylor 2005) and SAOImage <em>DS9</em> were used in this work. This research has made use of the NASA,TRUE,2012ApJ...757L..27M,,Chandra|CfA,The Astrophysical Journal,2012ApJ...757L..27M|10.1088/2041-8205/757/2/L27|10.1088/2041-8205/757/2/L27,10.1088/2041-8205/757/2/L27,2012,2012-10-00,"Massaro, F.",On the Nature of the Gamma-Ray Source 2FGL J1823.8+4312: The Discovery of a New Class of Extragalactic X-Ray Sources
DS9,SAOImage DS9,0,"XSPEC and <em>DS9.</em> 4.1 Pixels livetimes, deadtimes and energy corrections From the data of each single",FALSE,2003A&A...411L.223G,2003astro.ph.11172G,,Astronomy and Astrophysics,2003astro.ph.11172G|2003A&A...411L.223G|10.1051/0004-6361:20031395|arXiv:astro-ph/0311172|2003astro.ph.11172G|10.1051/0004-6361:20031395,10.1051/0004-6361:20031395,2003,2003-11-00,"Goldwurm, A.",The INTEGRAL/IBIS scientific data analysis
DS9,SAOImage DS9,0,stellar haloes. These regions are filtered by creating SAOImage <em>DS9</em> region files by hand.,FALSE,2008MNRAS.385..918K,2007arXiv0712.3063K|2008MNRAS.tmp..238K,NOAO|HST,Monthly Notices of the Royal Astronomical Society,2007arXiv0712.3063K|2008MNRAS.tmp..238K|2008MNRAS.385..918K|10.1111/j.1365-2966.2008.12880.x|10.1111/j.1365-2966.2008.12880.x|2007arXiv0712.3063K|2008MNRAS.tmp..238K|arXiv:0712.3063,10.1111/j.1365-2966.2008.12880.x,2008,2008-04-00,"Kubo, Jeffrey M.",A method to search for strong galaxy-galaxy lenses in optical imaging surveys
DS9,SAOImage DS9,0,"in the other UV lines, with the exception of C iii 1176, using SAOIMAGE <em>DS9</em> (Joye Mandel 2003) image",TRUE,2006ApJ...648.1169P,2006astro.ph..5634P,NOAO|ESO/Telescopes|IUE|CfA|HST|Magellan,The Astrophysical Journal,2006astro.ph..5634P|2006ApJ...648.1169P|10.1086/506191|2006astro.ph..5634P|10.1086/506191|arXiv:astro-ph/0605634,10.1086/506191,2006,2006-09-00,"Pearson, K. J.",Multiwavelength Observations of EXO 0748-676. II. Emission-Line Behavior
DS9,SAOImage DS9,0,was measured on each 8 m image using the ruler option on the SAOIMAGE <em>DS9</em> image display widget. Some images,FALSE,2007A&A...472..155K,2007arXiv0705.4399K,Spitzer,Astronomy and Astrophysics,2007arXiv0705.4399K|2007A&A...472..155K|10.1051/0004-6361:20077103|arXiv:0705.4399|2007arXiv0705.4399K|10.1051/0004-6361:20077103,10.1051/0004-6361:20077103,2007,2007-09-00,"Kumar, M. S. N.",Spitzer-IRAC GLIMPSE of high-mass protostellar objects. I. Infrared point sources and nebulae
DS9,SAOImage DS9,0,"were then co-added in groups. In the case of the data from the Isaac Newton Telescope <em>(DS9</em> in Table 1), groups",TRUE,2014A&A...562A..48L,,ESO/Telescopes,Astronomy and Astrophysics,2014A&A...562A..48L|10.1051/0004-6361/201322602|10.1051/0004-6361/201322602,10.1051/0004-6361/201322602,2014,2014-02-00,"Lowry, S. C.",The internal structure of asteroid (25143) Itokawa as revealed by detection of YORP spin-up
DS9,SAOImage DS9,0,"respectively. <em>DS9</em> software was used to create the color representation. Note the dark dust bar, which crosses",FALSE,2016AJ....152..194L,2016arXiv161008990L,NOAO,The Astronomical Journal,2016arXiv161008990L|2016AJ....152..194L|10.3847/0004-6256/152/6/194|2016arXiv161008990L|10.3847/0004-6256/152/6/194|arXiv:1610.08990,10.3847/0004-6256/152/6/194,2016,2016-12-00,"Lester, Kathryn V.",A Young Eclipsing Binary and Its Luminous Neighbors in the Embedded Star Cluster Sh 2-252E
DS9,SAOImage DS9,0,"for FITS operations, like fv, FTOOLS, and FITSIO&#x2F;CFITSIO; astronomical image viewers, like <em>DS9,</em> SAOImage;",FALSE,2004SPIE.5493..233C,2004astro.ph.11387C,,Optimizing Scientific Return for Astronomy through Information Technologies,2004astro.ph.11387C|2004SPIE.5493..233C|10.1117/12.550970|2004astro.ph.11387C|10.1117/12.550970|arXiv:astro-ph/0411387,10.1117/12.550970,2004,2004-09-00,"Cui, Chenzhou",Integrating existing software toolkits into VO system
