Software_name,Alias,ID
WCS Tools,xy2sky,0
WCS Tools,sethead,0
WCS Tools,gethead,0
WCS Tools,WCSLIB,0
WCS Tools,LibWCS,0
WCS Tools,2011ascl.soft09015M,1
WCS Tools,ascl:1109.015,1
WCS Tools,tdc-www.harvard.edu/software/wcstools,0
WCS Tools,adsabs.harvard.edu/abs/2011ascl.soft09015M,0
WCS Tools,ascl.net/1109.015,0
WCS Tools,adsabs.harvard.edu/abs/1999ASPC..172..498M,0
WCS Tools,articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?1999ASPC..172..498M&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf,0
WCS Tools,1999ASPC..172..498M,1
WCS Tools,adsabs.harvard.edu/abs/2002ASPC..281..169M,0
WCS Tools,articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?2002ASPC..281..169M&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf,0
WCS Tools,2002ASPC..281..169M,1
WCS Tools,adsabs.harvard.edu/abs/2003ASPC..295...51M,0
WCS Tools,articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?2003ASPC..295...51M&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf,0
WCS Tools,2003ASPC..295...51M,1
WCS Tools,tdc-www.harvard.edu/software/wcstools/publications/saoimage.adass95.html,0
WCS Tools,tdc-www.harvard.edu/software/wcstools/publications/wcstools.adass96.html,0
WCS Tools,tdc-www.harvard.edu/software/wcstools/publications/wcstools.dda98abs.html,0
WCS Tools,tdc-www.harvard.edu/software/wcstools/publications/adass2001,0
WCS Tools,tdc-www.harvard.edu/software/wcstools/publications/dda2003,0
WCS Tools,tdc-www.harvard.edu/wcstools/publications/catalogs.adass2003.pdf,0
WCS Tools,tdc-www.harvard.edu/software/wcstools/publications/adass2003,0
WCS Tools,tdc-www.harvard.edu/software/wcstools/publications/adass2005/img19.html,0
WCS Tools,1997ASPC..125..249M,1
WCS Tools,adsabs.harvard.edu/full/1997ASPC..125..249M,0
WCS Tools,adsabs.harvard.edu/abs/1997ASPC..125..249M,0
WCS Tools,articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?1997ASPC..125..249M&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf,0
WCS Tools,adass.org/adass/proceedings/adass96/minkd.html,0
WCS Tools,2006ASPC..351..204M,1
WCS Tools,adsabs.harvard.edu/abs/2006ASPC..351..204M,0
WCS Tools,aspbooks.org/custom/publications/paper/351-0204.html,0
WCS Tools,aspbooks.org/publications/351/204.pdf,0
WCS Tools,articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?2006ASPC..351..204M&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf,0
WCS Tools,articles.adsabs.harvard.edu/full/2006ASPC..351..204M,0
